1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856,854.0,3.0,706,150,548,2003.0,1710,8450,196.0,61,5,7,856,2003,2003,208500
1262,0.0,3.0,978,284,460,1976.0,1262,9600,0.0,0,8,6,1262,1976,1976,181500
920,866.0,3.0,486,434,608,2001.0,1786,11250,162.0,42,5,7,920,2001,2002,223500
961,0.0,3.0,216,540,642,1998.0,1717,9550,0.0,35,5,7,756,1915,1970,140000
1145,0.0,4.0,655,490,836,2000.0,2198,14260,350.0,84,5,8,1145,2000,2000,250000
796,566.0,1.0,732,64,480,1993.0,1362,14115,0.0,30,5,5,796,1993,1995,143000
1694,0.0,3.0,1369,317,636,2004.0,1694,10084,186.0,57,5,8,1686,2004,2005,307000
1107,983.0,3.0,859,216,484,1973.0,2090,10382,240.0,204,6,7,1107,1973,1973,200000
1022,752.0,2.0,0,952,468,1931.0,1774,6120,0.0,0,5,7,952,1931,1950,129900
1077,0.0,2.0,851,140,205,1939.0,1077,7420,0.0,4,6,5,991,1939,1950,118000
1040,0.0,3.0,906,134,384,1965.0,1040,11200,0.0,0,5,5,1040,1965,1965,129500
1182,1142.0,4.0,998,177,736,2005.0,2324,11924,286.0,21,5,9,1175,2005,2006,345000
912,0.0,2.0,737,175,352,1962.0,912,12968,0.0,0,6,5,912,1962,1962,144000
1494,0.0,3.0,0,1494,840,2006.0,1494,10652,306.0,33,5,7,1494,2006,2007,279500
1253,0.0,3.0,733,520,352,1960.0,1253,10920,212.0,213,5,6,1253,1960,1960,157000
854,0.0,2.0,0,832,576,1991.0,854,6120,0.0,112,8,7,832,1929,2001,132000
1004,0.0,2.0,578,426,480,1970.0,1004,11241,180.0,0,7,6,1004,1970,1970,149000
1296,0.0,2.0,0,0,516,1967.0,1296,10791,0.0,0,5,4,0,1967,1967,90000
1114,0.0,3.0,646,468,576,2004.0,1114,13695,0.0,102,5,5,1114,2004,2004,159000
1339,0.0,3.0,504,525,294,1958.0,1339,7560,0.0,0,6,5,1029,1958,1965,139000
1158,1218.0,4.0,0,1158,853,2005.0,2376,14215,380.0,154,5,8,1158,2005,2006,325300
1108,0.0,3.0,0,637,280,1930.0,1108,7449,0.0,0,7,7,637,1930,1950,139400
1795,0.0,3.0,0,1777,534,2002.0,1795,9742,281.0,159,5,8,1777,2002,2002,230000
1060,0.0,3.0,840,200,572,1976.0,1060,4224,0.0,110,7,5,1040,1976,1976,129900
1060,0.0,3.0,188,204,270,1968.0,1060,8246,0.0,90,8,5,1060,1968,2001,154000
1600,0.0,3.0,0,1566,890,2007.0,1600,14230,640.0,56,5,8,1566,2007,2007,256300
900,0.0,3.0,234,180,576,2005.0,900,7200,0.0,32,7,5,900,1951,2000,134800
1704,0.0,3.0,1218,486,772,2008.0,1704,11478,200.0,50,5,8,1704,2007,2008,306000
1600,0.0,2.0,1277,207,319,1957.0,1600,16321,0.0,258,6,5,1484,1957,1997,207500
520,0.0,1.0,0,520,240,1920.0,520,6324,0.0,0,6,4,520,1927,1950,68500
649,668.0,3.0,0,649,250,1920.0,1317,8500,0.0,54,4,4,649,1920,1950,40000
1228,0.0,3.0,0,1228,271,1966.0,1228,8544,0.0,65,6,5,1228,1966,2006,149350
1234,0.0,3.0,0,1234,484,2007.0,1234,11049,0.0,30,5,8,1234,2007,2007,179900
1700,0.0,4.0,1018,380,447,1959.0,1700,10552,0.0,38,5,5,1398,1959,1959,165500
1561,0.0,2.0,1153,408,556,2005.0,1561,7313,246.0,47,5,9,1561,2005,2005,277500
1132,1320.0,4.0,0,1117,691,2004.0,2452,13418,132.0,32,5,8,1117,2004,2005,309000
1097,0.0,3.0,0,1097,672,1995.0,1097,10859,0.0,64,5,5,1097,1994,1995,145000
1297,0.0,3.0,1213,84,498,1954.0,1297,8532,650.0,0,6,5,1297,1954,1990,153000
1057,0.0,3.0,731,326,246,1953.0,1057,7922,0.0,52,7,5,1057,1953,2007,109000
1152,0.0,3.0,0,0,0,1980.0,1152,6040,0.0,0,5,4,0,1955,1955,82000
1324,0.0,3.0,643,445,440,1965.0,1324,8658,101.0,138,5,6,1088,1965,1965,160000
1328,0.0,2.0,967,383,308,1959.0,1328,16905,0.0,104,6,5,1350,1959,1959,170000
884,0.0,2.0,747,0,504,1983.0,884,9180,0.0,0,7,5,840,1983,1983,144000
938,0.0,3.0,280,167,308,1977.0,938,9200,0.0,0,6,5,938,1975,1980,130250
1150,0.0,3.0,179,465,300,1959.0,1150,7945,0.0,0,6,5,1150,1959,1959,141000
1752,0.0,2.0,456,1296,576,2005.0,1752,7658,412.0,82,5,9,1752,2005,2005,319900
1518,631.0,1.0,1351,83,670,2003.0,2149,12822,0.0,43,5,7,1434,2003,2003,239686
1656,0.0,3.0,24,1632,826,2006.0,1656,11096,0.0,146,5,8,1656,2006,2006,249700
736,716.0,2.0,0,736,0,1980.0,1452,4456,0.0,0,5,4,736,1920,2008,113000
955,0.0,3.0,763,192,386,1966.0,955,7742,0.0,0,7,5,955,1966,1966,127000
794,676.0,3.0,182,612,388,1997.0,1470,13869,0.0,75,6,6,794,1997,1997,177000
816,0.0,3.0,0,816,528,1985.0,1176,6240,0.0,0,6,6,816,1934,1950,114500
816,0.0,2.0,104,0,516,1963.0,816,8472,0.0,0,5,5,816,1963,1963,110000
1842,0.0,0.0,1810,32,894,1981.0,1842,50271,0.0,72,5,9,1842,1981,1987,385000
1360,0.0,3.0,384,0,572,1962.0,1360,7134,0.0,50,5,5,384,1955,1955,130000
1425,0.0,3.0,490,935,576,1964.0,1425,10175,272.0,0,5,6,1425,1964,1964,180500
983,756.0,3.0,649,321,480,1999.0,1739,2645,456.0,0,5,8,970,1999,2000,172500
860,0.0,3.0,0,860,565,2004.0,1720,11645,0.0,70,5,7,860,2004,2004,196500
1426,1519.0,3.0,0,1410,641,2006.0,2945,13682,1031.0,0,5,10,1410,2006,2006,438780
780,0.0,2.0,632,148,352,1973.0,780,7200,0.0,0,7,5,780,1972,1972,124900
1158,0.0,3.0,941,217,576,2006.0,1158,13072,0.0,50,5,6,1158,2004,2004,158000
581,530.0,3.0,0,530,288,1935.0,1111,7200,0.0,0,7,5,530,1920,1996,101000
1370,0.0,2.0,24,1346,484,2006.0,1370,6442,178.0,49,5,8,1370,2006,2006,202500
902,808.0,3.0,0,576,480,1990.0,1710,10300,0.0,11,6,7,576,1921,1950,140000
